items,support
['tropical fruit'],0.055752660922453116
['yogurt'],0.08717688798783578
['coffee'],0.04232133806386214
['pip fruit'],0.04080081094779524
['cream cheese'],0.021540800810947794
['other vegetables'],0.1188545362392296
['whole milk'],0.1870248352762291
['long life bakery product'],0.0225544855549924
['frankfurter'],0.041814495691839836
['rolls/buns'],0.1675114039533705
['soda'],0.1563608717688799
['chicken'],0.02382159148504815
['butter'],0.026102382159148504
['sugar'],0.016472377090724785
['fruit/vegetable juice'],0.04156107450582869
['newspapers'],0.06132792701469843
['butter milk'],0.017486061834769386
['pastry'],0.0686771414090218
['bottled water'],0.08590978205778003
['canned beer'],0.06132792701469843
['sausage'],0.06842372022301065
['chocolate'],0.030917384693360365
['beverages'],0.021794221996958945
['specialty bar'],0.027876330461226558
['beef'],0.030410542321338063
['grapes'],0.012924480486568676
['root vegetables'],0.05119107957425241
['dessert'],0.022301064368981247
['citrus fruit'],0.04840344652812975
['berries'],0.016472377090724785
['cat food'],0.012924480486568676
['ham'],0.012417638114546376
['curd'],0.02914343639128231
['brown bread'],0.04434870755195134
['red/blush wine'],0.018499746578813987
['bottled beer'],0.07247845919918905
['frozen meals'],0.02027369488089204
['onions'],0.015205271160669031
['hard cheese'],0.012671059300557527
['frozen vegetables'],0.023061327927014697
['pork'],0.03370501773948302
['whipped/sour cream'],0.03446528129751647
['salty snack'],0.021287379624936646
['misc. beverages'],0.021794221996958945
['uht milk'],0.021540800810947794
['waffles'],0.02280790674100355
['semi finished bread'],0.010390268626457172
['shopping bags'],0.06284845413076533
['chewing gum'],0.02027369488089204
['hamburger meat'],0.016218955904713634
['white wine'],0.020780537252914344
['ice cream'],0.020780537252914344
['candy'],0.021287379624936646
['meat'],0.015205271160669031
['margarine'],0.031931069437404966
['oil'],0.012671059300557527
['hygiene articles'],0.016218955904713634
['napkins'],0.026355803345159655
['domestic eggs'],0.029650278763304613
['white bread'],0.02382159148504815
['specialty chocolate'],0.027622909275215407
['liquor'],0.013684744044602128
['dishes'],0.010897110998479472
['seasonal products'],0.011150532184490624
['pot plants'],0.013938165230613279
"['rolls/buns', 'whole milk']",0.02382159148504815
"['rolls/buns', 'soda']",0.027622909275215407
"['newspapers', 'whole milk']",0.012417638114546376
"['soda', 'whole milk']",0.013684744044602128
"['soda', 'bottled beer']",0.011910795742524075
"['soda', 'pastry']",0.012164216928535226
"['whole milk', 'tropical fruit']",0.010390268626457172
"['whole milk', 'root vegetables']",0.012164216928535226
"['soda', 'sausage']",0.010643689812468323
"['other vegetables', 'root vegetables']",0.011657374556512924
"['whole milk', 'bottled water']",0.013684744044602128
"['rolls/buns', 'other vegetables']",0.012417638114546376
"['rolls/buns', 'sausage']",0.020780537252914344
"['pastry', 'whole milk']",0.013684744044602128
"['soda', 'bottled water']",0.016725798276735936
"['other vegetables', 'whole milk']",0.0225544855549924
"['rolls/buns', 'frankfurter']",0.012671059300557527
"['soda', 'shopping bags']",0.010390268626457172
"['soda', 'other vegetables']",0.010390268626457172
"['rolls/buns', 'yogurt']",0.010897110998479472
"['whole milk', 'yogurt']",0.012924480486568676
